PartNumber	URL
S-1122B33MC-L8STFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B33MC-L8STFG?qs=T8amsbD9IqGC4WIp2Ach2w%3D%3D
S-1122B35MC-L8UTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B35MC-L8UTFG?qs=im14jibcDpod4aF0mvRncA%3D%3D
S-1122B36MC-L8VTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B36MC-L8VTFG?qs=im14jibcDpqRW6PVdeZTaQ%3D%3D
S-1122B37MC-L8WTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B37MC-L8WTFG?qs=im14jibcDpr7XQSMxI1iIg%3D%3D
S-1122B38MC-L8XTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B38MC-L8XTFG?qs=im14jibcDppE9a0Yxxs8iA%3D%3D
S-1122B39MC-L8YTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B39MC-L8YTFG?qs=im14jibcDprAPZUWOtQeiQ%3D%3D
S-1122B40MC-L8ZTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B40MC-L8ZTFG?qs=im14jibcDpoXnZk8pnSZUg%3D%3D
S-1122B42MC-L9BTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B42MC-L9BTFG?qs=im14jibcDpr2uoJeaKlvbQ%3D%3D
S-1122B43MC-L9CTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B43MC-L9CTFG?qs=im14jibcDppFDowYi8qo%252Bw%3D%3D
S-1122B44MC-L9DTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B44MC-L9DTFG?qs=im14jibcDprJ%2F6RCfGvuOA%3D%3D
S-1122B45MC-L9ETFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B45MC-L9ETFG?qs=im14jibcDpr3okIMRcq3wg%3D%3D
S-1122B46MC-L9FTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B46MC-L9FTFG?qs=im14jibcDpqotdcPBkk8lA%3D%3D
S-1122B47MC-L9GTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B47MC-L9GTFG?qs=im14jibcDpo0wmeXHDqQaQ%3D%3D
S-1122B48MC-L9HTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1122B48MC-L9HTFG?qs=im14jibcDprEYS7jcSBNOg%3D%3D
S-1131B50UA-N5JTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1131B50UA-N5JTFG?qs=7rqGpozHao4GrDFUNEidWA%3D%3D
S-1132B15-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B15-U5T1G?qs=7rqGpozHao5KHwiSvECLlA%3D%3D
S-1132B15-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B15-U5T1U?qs=sE1HjTVAc2jF%2Fe8X%2FkxypA%3D%3D
S-1132B18-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B18-M5T1G?qs=7rqGpozHao7Ln%2FouLF%2F59w%3D%3D
S-1132B18-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B18-M5T1U?qs=sE1HjTVAc2gB17sT786iGA%3D%3D
S-1132B18-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B18-U5T1G?qs=7rqGpozHao7CHCNIqXDJ5A%3D%3D
S-1132B18-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B18-U5T1U?qs=sE1HjTVAc2hzALwdkjd6Bw%3D%3D
S-1132B25-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B25-M5T1G?qs=7rqGpozHao6jaV9s%252BUlL5Q%3D%3D
S-1132B25-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B25-M5T1U?qs=sE1HjTVAc2ilGtc6Sd8tFw%3D%3D
S-1132B25-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B25-U5T1G?qs=7rqGpozHao6rHpap7mrCtA%3D%3D
S-1132B25-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B25-U5T1U?qs=sE1HjTVAc2hrffqSG4l5lQ%3D%3D
S-1132B27-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B27-M5T1G?qs=7rqGpozHao5gGzm%252BMpPFaw%3D%3D
S-1132B28-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B28-M5T1U?qs=sE1HjTVAc2hzufAB%2FQnJLA%3D%3D
S-1132B30-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B30-M5T1G?qs=7rqGpozHao6nn52PLa9Tiw%3D%3D
S-1132B30-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B30-M5T1U?qs=sE1HjTVAc2gKLGwPhPGcTw%3D%3D
S-1132B33-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B33-M5T1G?qs=7rqGpozHao69s5bfU3XW6Q%3D%3D
S-1132B33-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B33-M5T1U?qs=sE1HjTVAc2ielDDzvFijBA%3D%3D
S-1132B33-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B33-U5T1G?qs=7rqGpozHao6r1V%2FY9oZ9hw%3D%3D
S-1132B33-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B33-U5T1U?qs=sE1HjTVAc2hlTWnrm2cwwg%3D%3D
S-1132B36-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B36-M5T1G?qs=7rqGpozHao7E6b8KDLUjxg%3D%3D
S-1132B42-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B42-M5T1G?qs=7rqGpozHao4%252B4JpNDGNtrA%3D%3D
S-1132B45-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1132B45-M5T1G?qs=7rqGpozHao6wt0k1ZdyJMw%3D%3D
S-1132B45-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1132B45-M5T1U?qs=sE1HjTVAc2gun6B8FETvMA%3D%3D
S-1133B00-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1133B00-U5T1G?qs=aEHb0250rXzZ82o5EALiUw%3D%3D
S-1133B00-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1133B00-U5T1U?qs=sE1HjTVAc2jgxCMyTeWX2A%3D%3D
S-1133B33-U5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1133B33-U5T1G?qs=aEHb0250rXzvxWpKKl3aYA%3D%3D
S-1133B33-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1133B33-U5T1U?qs=sE1HjTVAc2gsmaUPs5fP3Q%3D%3D
S-1133B50-U5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1133B50-U5T1U?qs=sE1HjTVAc2jyb%2Fr52HfWMQ%3D%3D
S-1165B15MC-N6ATFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B15MC-N6ATFG?qs=iI5%252ByCKDAwqZbcjl%2FKy61A%3D%3D
S-1165B18MC-N6DTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B18MC-N6DTFG?qs=ppmAsT7WyprRPwLpDhteKg%3D%3D
S-1165B25MC-N6KTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B25MC-N6KTFG?qs=ppiowjEGErNYzIBSJfmDSQ%3D%3D
S-1165B27MC-N6MTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B27MC-N6MTFG?qs=XMHtXxD1C3K5dls0OtTspw%3D%3D
S-1165B29MC-N6OTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B29MC-N6OTFG?qs=qKsEtwXzX0bHGkDns%252BUBAA%3D%3D
S-1165B30MC-N6PTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B30MC-N6PTFG?qs=wFw0%2FOPGr4KvpxC9JWLWSQ%3D%3D
S-1165B33MC-N6STFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B33MC-N6STFG?qs=yZtEbNLmbc23U4Vw8Vx8wQ%3D%3D
S-1165B50MC-N7JTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1165B50MC-N7JTFG?qs=6RD21AWrCjHQv%252B7hGdr6jQ%3D%3D
S-1167A15-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A15-M5T1G?qs=JL%252BwOXt1ZwB1WB5CUfJGVQ%3D%3D
S-1167A19-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A19-M5T1G?qs=JL%252BwOXt1ZwADrdDGS81kjQ%3D%3D
S-1167A1J-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A1J-M5T1G?qs=JL%252BwOXt1ZwCc5jozXxMz5w%3D%3D
S-1167A30-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A30-M5T1G?qs=JL%252BwOXt1ZwDJXj%252BiQbGbQA%3D%3D
S-1167A33-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A33-M5T1G?qs=JL%252BwOXt1ZwBXJhIvOqnn3g%3D%3D
S-1167A50-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167A50-M5T1G?qs=JL%252BwOXt1ZwD3KNdSJxphew%3D%3D
S-1167B15-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B15-M5T1G?qs=7rqGpozHao4s3Mk3Cb10vw%3D%3D
S-1167B15-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B15-M5T1U?qs=sE1HjTVAc2hOn1OPY6Dd0Q%3D%3D
S-1167B16-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B16-M5T1G?qs=7rqGpozHao4tO5TaLZIEjw%3D%3D
S-1167B18-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B18-M5T1G?qs=7rqGpozHao7LF5Zn0Fik0g%3D%3D
S-1167B18-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B18-M5T1U?qs=sE1HjTVAc2ixLtfT0ab%2FDQ%3D%3D
S-1167B19-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B19-M5T1G?qs=7rqGpozHao7yCIYMaMzEIA%3D%3D
S-1167B20-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B20-M5T1G?qs=7rqGpozHao5iiIQsaZKwkA%3D%3D
S-1167B23-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B23-M5T1G?qs=7rqGpozHao7uO4XTqef4Uw%3D%3D
S-1167B25-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B25-M5T1G?qs=7rqGpozHao6FBplkQFUi%2Fw%3D%3D
S-1167B25-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B25-M5T1U?qs=sE1HjTVAc2gwhIunWkSZBg%3D%3D
S-1167B26-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B26-M5T1G?qs=7rqGpozHao6YMXlUykfW%2Fg%3D%3D
S-1167B27-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B27-M5T1G?qs=7rqGpozHao4YrGwAPsZfgg%3D%3D
S-1167B28-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B28-M5T1G?qs=7rqGpozHao6ADSYTRG8BNA%3D%3D
S-1167B28-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B28-M5T1U?qs=sE1HjTVAc2hbQlAt5Xgs1w%3D%3D
S-1167B29-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B29-M5T1G?qs=7rqGpozHao7sUqlWy%2F2SQw%3D%3D
S-1167B30-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B30-M5T1G?qs=7rqGpozHao7F%2FdobcU0psQ%3D%3D
